epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
144,5690.91,1.97776,1.1521,1.18326,0.88497,0.77461,0.85129,0.34888,2.01513,1.03667,1.27184,0.0010562,0.0010562,0.0010562
145,5727.79,1.95606,1.16324,1.16557,0.84493,0.71412,0.7883,0.29851,2.11172,1.1176,1.31556,0.0010496,0.0010496,0.0010496
146,5771.05,1.97705,1.18898,1.18348,0.84742,0.74446,0.81658,0.32224,2.07151,1.08482,1.29411,0.001043,0.001043,0.001043
147,5800.06,1.9445,1.14521,1.17422,0.87567,0.78055,0.85061,0.3582,1.98564,1.00635,1.25974,0.0010364,0.0010364,0.0010364
148,5842.04,1.98622,1.16524,1.17804,0.86413,0.8019,0.85044,0.35711,1.99634,1.01003,1.26449,0.0010298,0.0010298,0.0010298
149,5875.26,1.97169,1.17138,1.18598,0.86464,0.77817,0.83784,0.32752,2.07144,1.00681,1.29529,0.0010232,0.0010232,0.0010232
150,5906.7,1.97665,1.17475,1.18109,0.8904,0.79834,0.86206,0.3578,1.95745,1.02905,1.23839,0.0010166,0.0010166,0.0010166
151,5953.47,1.9642,1.18994,1.17333,0.87571,0.79953,0.86123,0.35019,1.99501,1.03041,1.25941,0.00101,0.00101,0.00101
152,5983.31,1.96662,1.18152,1.18869,0.84851,0.78648,0.84243,0.35081,1.96483,1.0563,1.24903,0.0010034,0.0010034,0.0010034
153,6032.42,1.95367,1.15528,1.17737,0.85995,0.8019,0.85057,0.34693,1.99447,1.02814,1.2666,0.0009968,0.0009968,0.0009968
154,6066.18,1.98199,1.18168,1.18137,0.87675,0.7841,0.83701,0.3422,2.02282,1.06185,1.29316,0.0009902,0.0009902,0.0009902
155,6108.04,1.98255,1.16119,1.1933,0.86055,0.77699,0.8468,0.35287,1.98992,1.02918,1.27588,0.0009836,0.0009836,0.0009836
156,6141.92,1.95964,1.15847,1.18058,0.87432,0.7758,0.84454,0.35405,2.00141,1.01639,1.28648,0.000977,0.000977,0.000977
157,6180,1.9476,1.13476,1.17754,0.84803,0.78772,0.83596,0.3438,2.04529,0.98746,1.28837,0.0009704,0.0009704,0.0009704
158,6226.31,1.9577,1.14653,1.17932,0.88059,0.77936,0.85484,0.35759,1.99745,1.00888,1.26471,0.0009638,0.0009638,0.0009638
159,6255.86,1.97415,1.15722,1.17849,0.87861,0.77461,0.84244,0.33718,2.04722,1.01081,1.29184,0.0009572,0.0009572,0.0009572
160,6306.2,1.95779,1.15815,1.17951,0.87328,0.77662,0.85016,0.35465,1.9609,1.0203,1.24286,0.0009506,0.0009506,0.0009506
161,6332.7,1.94723,1.13003,1.18407,0.83041,0.78415,0.83789,0.33509,2.04113,1.04805,1.29508,0.000944,0.000944,0.000944
162,6381.79,1.96344,1.16039,1.18194,0.83434,0.76868,0.83608,0.33932,2.02943,1.06432,1.28273,0.0009374,0.0009374,0.0009374
163,6412.97,1.94155,1.12604,1.16715,0.87248,0.7841,0.85834,0.35532,1.97602,1.01555,1.26296,0.0009308,0.0009308,0.0009308
164,6441.64,1.95943,1.15163,1.17435,0.87062,0.79827,0.85351,0.36232,1.96443,1.01964,1.25788,0.0009242,0.0009242,0.0009242
165,6495.03,1.95284,1.1471,1.16917,0.88474,0.79217,0.86379,0.3575,1.98989,0.987,1.27095,0.0009176,0.0009176,0.0009176
166,6525.25,1.93694,1.09668,1.17824,0.87556,0.72716,0.81096,0.30939,2.15568,1.01623,1.35769,0.000911,0.000911,0.000911
167,6570.71,1.93302,1.10895,1.16749,0.86128,0.75122,0.82959,0.32611,2.09589,1.01332,1.31445,0.0009044,0.0009044,0.0009044
168,6601.29,1.94244,1.13487,1.17428,0.85845,0.76258,0.82752,0.32858,2.05989,1.02667,1.30246,0.0008978,0.0008978,0.0008978
169,6649.63,1.9667,1.15681,1.17332,0.88076,0.77982,0.84892,0.34719,2.03571,0.98027,1.28518,0.0008912,0.0008912,0.0008912
170,6687.23,1.95728,1.14786,1.17674,0.84806,0.7841,0.83677,0.32834,2.07062,1.01225,1.30408,0.0008846,0.0008846,0.0008846
171,6715.65,1.92993,1.12238,1.16979,0.88482,0.79359,0.85213,0.34304,2.03053,1.01734,1.28325,0.000878,0.000878,0.000878
